cell_type	category	region	n_cells	sum_umis	total_cells	total_umi	proportion_of_cells	proportion_of_umi
COP/NFOL	glia	caudate	192	1989173	38768	434898314	0.004952538175815105	0.004573880688808557
COP/NFOL	glia	putamen	219	2608047	46318	559566825	0.004728183427609137	0.004660832064159629
COP/NFOL	glia	thalamus	207	2189440	38859	458138035	0.0053269512854165054	0.004778996356414721
MB-derived IN	neuron	caudate	1514	29554841	38768	434898314	0.03905282707387536	0.0679580491544513
MB-derived IN	neuron	thalamus	1985	43747130	38859	458138035	0.051082117398800794	0.09548897200818526
OPC	glia	caudate	2439	14850450	38768	434898314	0.06291271151465126	0.034146947739144375
OPC	glia	putamen	2187	14853772	46318	559566825	0.04721706464009672	0.02654512622330675
OPC	glia	thalamus	2723	17874780	38859	458138035	0.07007385676419876	0.03901614499219651
SPN	neuron	caudate	6260	155118983	38768	434898314	0.161473380107305	0.3566787407688134
SPN	neuron	putamen	11644	287548346	46318	559566825	0.2513925471738849	0.5138766866674056
astrocyte	glia	caudate	6360	50428884	38768	434898314	0.16405282707387536	0.11595557484731937
astrocyte	glia	putamen	8873	58630615	46318	559566825	0.19156699339349711	0.10477857582068058
astrocyte	glia	thalamus	6980	55307551	38859	458138035	0.17962376798167734	0.12072246086269611
endothelial stalk	other	caudate	429	2102131	38768	434898314	0.011065827486586875	0.004833614967750829
endothelial stalk	other	putamen	594	3203700	46318	559566825	0.01282438792693985	0.005725321546716069
endothelial stalk	other	thalamus	713	3449872	38859	458138035	0.018348387760879076	0.007530202114740375
fast-spiking IN	neuron	caudate	3413	79743782	38768	434898314	0.08803652496904664	0.18336190192726293
fast-spiking IN	neuron	putamen	3191	95967762	46318	559566825	0.06889330281963815	0.171503666251122
fast-spiking IN	neuron	thalamus	3765	142506320	38859	458138035	0.0968887516405466	0.3110554224121558
fibroblast	other	thalamus	170	886999	38859	458138035	0.004374790910728532	0.001936095526318831
microglia	glia	caudate	2295	8606883	38768	434898314	0.05919830788278993	0.01979056419151811
microglia	glia	putamen	2277	7863501	46318	559566825	0.049160153719936095	0.014052836316734825
microglia	glia	thalamus	2362	8379951	38859	458138035	0.06078385959494583	0.018291323487254228
oligodendrocyte	glia	caudate	14670	70042427	38768	434898314	0.37840486999587286	0.1610547218630974
oligodendrocyte	glia	putamen	17333	88891082	46318	559566825	0.374217366898398	0.1588569551098745
oligodendrocyte	glia	thalamus	15295	78085770	38859	458138035	0.39360251164466403	0.17044157881368657
radial glia	glia	caudate	170	1303898	38768	434898314	0.004385059843169625	0.002998167521063326
somatostatin IN	neuron	caudate	1026	21156862	38768	434898314	0.02646512587701197	0.04864783633077042
somatostatin IN	neuron	thalamus	4659	105710222	38859	458138035	0.11989500501814251	0.2307388034263516
